duration_days,team_size,budget_k_usd,past_delay_frequency,requirement_changes,risk_level
112,4,61,0.7279471767307432,11,Medium
102,13,136,0.10794371464646435,25,Medium
24,1,573,0.6852980161158734,18,Medium
116,4,958,0.0918708877100447,44,Medium
81,14,586,0.9651297421269965,6,Medium
30,7,350,0.4883941300649396,46,Medium
112,11,292,0.15067610770987738,6,Low
131,4,171,0.3423836360335465,25,Medium
84,13,196,0.41341644929526145,39,Medium
97,6,616,0.7581850110765374,4,Medium
126,9,799,0.7434237860766093,20,Medium
109,1,405,0.611940505337331,13,Medium
113,13,734,0.10593071255849296,3,Low
161,5,953,0.15156937158767358,22,Medium
140,11,782,0.09375692064555663,41,Medium
159,7,680,0.5771727832875501,19,Medium
62,1,358,0.877138441511404,14,Medium
11,14,744,0.4338005122547718,49,Low
97,4,337,0.1608481739577462,44,Medium
167,6,356,0.558042325148967,28,Medium
47,2,861,0.8117522168657099,7,Medium
139,10,643,0.74171206151293,40,Medium
30,5,963,0.8814507796750214,47,Medium
170,11,772,0.27790209724886783,18,Medium
67,10,711,0.19395386726777486,47,Low
31,1,598,0.8798164859419387,38,High
98,6,401,0.6575603127780231,45,Medium
58,6,361,0.31092893000755417,27,Medium
68,13,922,0.7423480505725092,45,Low
179,4,108,0.8151183844803679,26,High
24,13,692,0.6149782403411324,3,Low
60,8,973,0.6878841098799151,14,Low
117,4,763,0.3752599044426663,34,Medium
64,8,804,0.5386956673430391,36,Low
73,13,84,0.5241591707261622,0,Medium
140,8,494,0.8480477911307719,2,Medium
60,5,142,0.8399639802821826,46,High
144,13,999,0.8326804693470432,23,Medium
30,4,256,0.011031614262465794,26,Medium
82,12,402,0.7495454844688882,39,Medium
176,13,952,0.7586763901110049,35,Medium
27,2,381,0.6783788228551418,33,Medium
141,11,866,0.7562646578914526,28,Medium
98,3,911,0.8419703714967087,23,Medium
69,3,774,0.47031905410178565,23,Medium
23,4,208,0.5020502134884471,41,Medium
18,4,73,0.12471405691139048,3,Low
99,10,453,0.3853758830473618,2,Low
62,11,854,0.6433651799117843,33,Low
139,11,565,0.7803997761472745,48,High
93,5,781,0.21720909769121055,22,Medium
101,4,413,0.1378228991592354,22,Medium
120,11,431,0.6630420045004922,44,Medium
17,14,581,0.0018798835249106416,4,Low
44,10,201,0.17837258430732983,30,Low
90,8,611,0.029071380343953734,40,Low
173,6,738,0.16688511785487092,5,Medium
59,6,996,0.18131927992550523,36,Low
113,8,657,0.3876735947503942,9,Medium
141,7,666,0.40232712468655596,39,Medium
11,10,469,0.8742624706102378,6,Medium
143,14,299,0.5101097124988252,38,Medium
63,11,166,0.7234047656122863,37,Medium
115,12,915,0.10413735792028744,20,Low
13,10,561,0.22543875546369385,19,Low
63,13,789,0.7029434409786768,2,Low
155,8,627,0.05280396046852809,21,Medium
53,14,384,0.4865976622437531,46,Low
171,2,467,0.5993689656629339,3,High
23,9,981,0.602145644052481,27,Low
104,1,823,0.02293281126804203,11,Low
57,8,344,0.3221080042291855,37,Medium
24,12,987,0.636490651049154,35,Low
49,11,804,0.14899973614924344,46,Low
91,12,420,0.6954156483280532,40,Medium
120,12,235,0.7459252088136745,4,Medium
62,4,295,0.9819691904461453,12,Medium
33,4,686,0.20984199485640942,22,Low
163,5,317,0.8251306676661152,49,High
133,8,692,0.520296576918654,29,Medium
50,5,286,0.37346259614417343,36,Medium
166,8,579,0.12237675732517794,24,Medium
24,10,601,0.7355056064875376,47,Medium
54,1,70,0.2358575991436871,26,Medium
74,12,960,0.37142200187304575,13,Low
98,10,786,0.06254222689736844,47,Medium
80,9,916,0.801366915819519,46,Medium
18,6,843,0.7665885239716433,35,Medium
97,3,569,0.7336158300423125,38,Medium
138,13,149,0.29944351049188667,15,Medium
145,14,801,0.17348007426595724,21,Low
72,8,527,0.6375532644702298,20,Medium
148,9,648,0.49616638411321945,20,Medium
90,6,347,0.17825246690464158,7,Medium
145,11,989,0.6859112710498637,48,Medium
172,7,575,0.9911264318213037,15,High
172,1,383,0.7472195877420377,30,High
42,14,51,0.7399863866856118,41,Medium
132,5,424,0.9503127529305917,9,Medium
14,5,342,0.2029363675749022,31,Low
50,10,886,0.5655499649214404,33,Low
37,14,983,0.9796467150338835,8,Low
144,4,602,0.16529411097017455,16,Medium
81,6,367,0.700251959444521,10,Medium
21,7,551,0.585810145971902,31,Low
171,9,877,0.586479092188707,9,Medium
42,1,430,0.6976706275200751,21,Medium
57,6,672,0.9296169228756842,16,Medium
160,7,63,0.782581939851338,3,Medium
71,3,553,0.056136103416210004,47,Medium
46,8,280,0.8527280198757112,46,Medium
108,5,133,0.22554132992573261,24,Medium
113,9,179,0.37691416473637196,20,Medium
44,5,792,0.46173281361238216,36,Medium
110,9,887,0.48090600075306966,37,Medium
140,10,194,0.4351803992553568,48,Medium
10,4,940,0.9373532942158644,0,Medium
14,9,906,0.7060190076640246,24,Low
151,5,77,0.6311706459567064,35,High
112,10,115,0.049842027782941556,16,Medium
36,9,212,0.9039133302603747,40,Medium
146,3,278,0.9093901920083962,23,High
24,4,310,0.7802130634301023,1,Medium
99,9,498,0.007029203813619156,39,Medium
51,10,473,0.057280251077623356,14,Low
133,11,509,0.22522370226848976,31,Medium
72,6,725,0.1313494081449067,38,Low
105,2,350,0.39883602970372944,5,Medium
61,7,968,0.9226230580877897,0,Low
105,2,352,0.4720604341969983,46,High
141,11,336,0.01340262643216561,22,Medium
160,2,444,0.282745689578762,38,Medium
152,11,59,0.04459490837296154,16,Medium
38,1,756,0.03628762261350216,33,Medium
45,11,679,0.27571985309555225,40,Low
22,11,319,0.2756123386789454,28,Low
169,12,641,0.787126602601604,8,Medium
80,11,654,0.9748346527811119,12,Medium
95,3,827,0.3712070938899983,5,Medium
37,6,893,0.4288868788610386,5,Low
75,8,911,0.8447894362860214,19,Medium
179,9,410,0.2681390200955134,2,Medium
54,7,306,0.15638180440344795,16,Medium
71,4,182,0.8530896234036505,48,High
143,6,325,0.046500586440065494,11,Medium
37,5,825,0.6196994401994157,47,Medium
37,8,732,0.5619928474668068,46,Medium
117,1,562,0.34592044750169426,44,Medium
53,1,362,0.315189521097359,0,Medium
93,13,625,0.7718577261816213,16,Medium
39,11,935,0.08642461076254648,2,Low
84,6,333,0.2367843093113854,25,Medium
137,10,170,0.7324487318380898,14,High
101,12,156,0.5483205837264242,35,Medium
138,2,982,0.1279882085335864,31,Medium
130,5,736,0.8821356142820601,31,Medium
36,1,253,0.39344784656359155,3,Medium
130,7,214,0.8278683753221728,17,High
125,1,354,0.7877130155277087,48,High
12,4,546,0.624425446471728,18,Medium
112,9,681,0.49448113129509297,42,Medium
164,1,605,0.9795508403817569,34,High
146,4,873,0.14496507237981704,39,Medium
71,6,205,0.7251557275511148,13,Medium
174,6,416,0.191190701464789,32,Medium
60,12,768,0.3382631053323484,13,Low
161,13,951,0.30869874337319525,33,Medium
68,8,669,0.947035987738723,3,Medium
127,1,300,0.9673561777882752,23,High
169,7,965,0.18301544423472715,28,Medium
105,1,931,0.022035160297504186,18,Medium
122,13,383,0.7200080396631131,5,Low
71,14,691,0.41798993387048433,32,Low
61,7,560,0.08884024508756438,48,Low
21,3,342,0.6837541055770425,39,Medium
48,11,69,0.5451055282606997,18,Medium
139,8,331,0.980516822001106,0,Medium
140,3,846,0.22740949586137893,4,Medium
122,14,50,0.40397787632654825,26,Medium
110,14,168,0.5425458033954229,15,Medium
122,13,84,0.7916999884533517,5,Medium
90,1,247,0.5488386567200587,39,Medium
122,13,534,0.6129001608619492,12,Medium
11,13,806,0.22614705158994075,47,Low
139,14,108,0.8469187280885598,34,Medium
63,8,886,0.42863054697047576,18,Low
96,3,210,0.14095962752176927,11,Medium
138,2,740,0.6641879145054174,15,Medium
156,1,255,0.2160904531853075,42,High
135,14,61,0.09756251023929974,9,Medium
139,3,539,0.8619869084042723,24,High
62,2,325,0.46016226448843967,19,Medium
169,2,742,0.7492837126957764,30,Medium
169,6,291,0.2905875598063551,3,Medium
77,12,265,0.7869701349176663,43,Medium
132,1,300,0.11193592702153032,22,Medium
154,2,860,0.3559733737948527,1,Medium
47,14,175,0.9780618179735285,21,Medium
33,6,266,0.7939897163680061,36,Medium
78,3,355,0.4972559303146882,7,Medium
125,4,846,0.3397774715618851,6,Medium
107,1,234,0.8721357000224765,13,Medium
148,8,88,0.5448477590845157,2,Medium
153,13,272,0.7584250178691111,49,Medium
106,7,233,0.754107680316164,15,Medium
133,7,544,0.01794567856849183,18,Medium
79,3,476,0.12625378279261346,17,Medium
102,10,227,0.6596293663947422,15,Medium
12,10,968,0.16161981128587144,7,Low
157,3,477,0.2554933446556047,32,Medium
173,14,343,0.9466379541996072,48,High
156,2,901,0.5601822583749119,11,Medium
99,12,200,0.7507295069993472,10,Medium
156,1,433,0.5579807387826399,4,High
157,7,687,0.5525136147827252,26,Medium
105,7,862,0.0941519101256979,11,Low
61,12,357,0.34366319260910305,16,Low
170,2,385,0.2824308986865117,5,Medium
177,7,995,0.39072836561361324,32,Medium
137,13,795,0.7983441882243283,4,Medium
48,8,941,0.37193266791686486,27,Low
91,1,424,0.4516968192316827,13,Medium
113,9,57,0.3973813904853165,4,Medium
138,7,390,0.0934079719752956,32,Medium
20,3,178,0.4410721582507837,49,Medium
160,8,825,0.19560927304451503,47,Medium
168,7,718,0.18672329577304148,40,Medium
51,11,401,0.09403610443426635,18,Medium
108,13,407,0.35667097414176474,21,Medium
16,8,566,0.7574818847894174,4,Low
153,6,544,0.27644169058339607,1,Medium
99,9,135,0.31234910188551357,29,Medium
121,5,224,0.6426746576724236,46,High
69,3,851,0.19584081258691888,38,Low
122,3,242,0.8969579304235343,3,Medium
11,1,360,0.5201905232515545,32,Medium
138,12,168,0.44760294032021697,12,Medium
57,8,267,0.5578201919292014,19,Medium
149,2,476,0.16603431341619546,6,Medium
46,3,463,0.6134731386391763,14,Medium
169,8,163,0.36310073663401043,22,Medium
18,14,194,0.8971863409646189,13,Low
108,8,587,0.16885420667768614,22,Medium
156,14,697,0.507051103865441,18,Medium
57,11,352,0.598112629369018,28,Medium
140,4,793,0.03338360178638122,19,Medium
157,4,930,0.36369312475614024,28,Medium
161,5,637,0.7326352347008328,23,High
63,6,889,0.8203775074489733,17,Low
129,5,394,0.31316199481728235,9,Medium
170,14,863,0.7985932723827512,40,Medium
161,7,850,0.9677558771033888,7,Medium
125,2,50,0.8568739360750941,25,High
84,7,196,0.1176439881593252,28,Medium
122,10,336,0.7397303320855406,9,Medium
173,7,703,0.3196668324405447,16,Medium
175,1,102,0.9884159894120765,1,High
113,7,353,0.4853589831598871,5,Medium
93,5,118,0.12243389835894103,4,Medium
121,3,410,0.7251855480273908,27,High
108,13,651,0.32301119838621384,40,Medium
162,3,269,0.9970781570816617,4,High
102,4,753,0.9797824578545219,17,Medium
155,13,624,0.6561340180205807,25,Medium
137,12,634,0.12982644895171758,19,Medium
119,2,210,0.6868609976750291,40,High
91,2,730,0.0930304864600272,48,Medium
63,1,138,0.029364159102392318,26,Medium
172,5,737,0.8229584462214861,48,High
178,4,830,0.20975294768368136,11,Medium
170,11,634,0.3790271262190974,6,Medium
77,10,806,0.9734573899761731,2,Medium
42,2,638,0.33684050186110326,9,Medium
151,3,208,0.29648978128331527,33,High
30,7,538,0.9182079996227752,24,Medium
